Province,Last_Update,Country_Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Continent
China/Anhui,2020-01-22,China,31.8257,117.2264,1.0,0.0,0.0,0.0,Asia
China/Beijing,2020-01-22,China,40.1824,116.4142,14.0,0.0,0.0,0.0,Asia
China/Chongqing,2020-01-22,China,30.0572,107.874,6.0,0.0,0.0,0.0,Asia
China/Fujian,2020-01-22,China,26.0789,117.9874,1.0,0.0,0.0,0.0,Asia
China/Gansu,2020-01-22,China,37.8099,103.8343,0.0,0.0,0.0,0.0,Asia
China/Guangdong,2020-01-22,China,23.3417,113.4244,26.0,0.0,0.0,0.0,Asia
China/Guangxi,2020-01-22,China,23.8298,108.7881,2.0,0.0,0.0,0.0,Asia
China/Guizhou,2020-01-22,China,26.8154,106.8748,1.0,0.0,0.0,0.0,Asia
China/Hainan,2020-01-22,China,19.1959,109.7453,4.0,0.0,0.0,0.0,Asia
China/Hebei,2020-01-22,China,39.549,116.1306,1.0,0.0,0.0,0.0,Asia
China/Heilongjiang,2020-01-22,China,47.862,127.7615,0.0,0.0,0.0,0.0,Asia
China/Henan,2020-01-22,China,33.882,113.614,5.0,0.0,0.0,0.0,Asia
China/Hubei,2020-01-22,China,30.9756,112.2707,444.0,17.0,28.0,0.0,Asia
China/Hunan,2020-01-22,China,27.6104,111.7088,4.0,0.0,0.0,0.0,Asia
China/Inner Mongolia,2020-01-22,China,44.0935,113.9448,0.0,0.0,0.0,0.0,Asia
China/Jiangsu,2020-01-22,China,32.9711,119.455,1.0,0.0,0.0,0.0,Asia
China/Jiangxi,2020-01-22,China,27.614,115.7221,2.0,0.0,0.0,0.0,Asia
China/Jilin,2020-01-22,China,43.6661,126.1923,0.0,0.0,0.0,0.0,Asia
China/Liaoning,2020-01-22,China,41.2956,122.6085,2.0,0.0,0.0,0.0,Asia
China/Ningxia,2020-01-22,China,37.2692,106.1655,1.0,0.0,0.0,0.0,Asia
China/Qinghai,2020-01-22,China,35.7452,95.9956,0.0,0.0,0.0,0.0,Asia
China/Shaanxi,2020-01-22,China,35.1917,108.8701,0.0,0.0,0.0,0.0,Asia
China/Shandong,2020-01-22,China,36.3427,118.1498,2.0,0.0,0.0,0.0,Asia
China/Shanghai,2020-01-22,China,31.202,121.4491,9.0,0.0,0.0,0.0,Asia
China/Shanxi,2020-01-22,China,37.5777,112.2922,1.0,0.0,0.0,0.0,Asia
China/Sichuan,2020-01-22,China,30.6171,102.7103,5.0,0.0,0.0,0.0,Asia
China/Tianjin,2020-01-22,China,39.3054,117.323,4.0,0.0,0.0,0.0,Asia
China/Tibet,2020-01-22,China,31.6927,88.0924,0.0,0.0,0.0,0.0,Asia
China/Xinjiang,2020-01-22,China,41.1129,85.2401,0.0,0.0,0.0,0.0,Asia
China/Yunnan,2020-01-22,China,24.974,101.48700000000001,1.0,0.0,0.0,0.0,Asia
China/Zhejiang,2020-01-22,China,29.1832,120.0934,10.0,0.0,0.0,0.0,Asia
Hong Kong/Hong Kong,2020-01-22,Hong Kong,22.3,114.2,0.0,0.0,0.0,0.0,Asia
Japan,2020-01-22,Japan,36.204824,138.252924,2.0,0.0,0.0,0.0,Asia
Macao/Macau,2020-01-22,Macao,22.1667,113.55,1.0,0.0,0.0,0.0,Asia
South Korea,2020-01-22,South Korea,36.0,128.0,1.0,0.0,0.0,0.0,Asia
South Korea,2020-01-22,South Korea,36.0,128.0,1.0,0.0,0.0,0.0,Asia
Taiwan/Taiwan,2020-01-22,Taiwan,23.7,121.0,1.0,0.0,0.0,0.0,Asia
Thailand,2020-01-22,Thailand,15.870032,101.0,2.0,0.0,0.0,0.0,Asia
US/Washington,2020-01-22,US,47.400902,-117.39640208,1.0,0.0,0.0,0.0,Americas
Brazil,2020-01-23,Brazil,-14.235,-51.9253,0.0,0.0,0.0,0.0,Americas
China/Anhui,2020-01-23,China,31.8257,117.2264,9.0,0.0,0.0,0.0,Asia
China/Beijing,2020-01-23,China,40.1824,116.4142,22.0,0.0,0.0,0.0,Asia
China/Chongqing,2020-01-23,China,30.0572,107.874,9.0,0.0,0.0,0.0,Asia
China/Fujian,2020-01-23,China,26.0789,117.9874,5.0,0.0,0.0,0.0,Asia
China/Gansu,2020-01-23,China,37.8099,103.8343,2.0,0.0,0.0,0.0,Asia
China/Guangdong,2020-01-23,China,23.3417,113.4244,32.0,0.0,2.0,0.0,Asia
China/Guangxi,2020-01-23,China,23.8298,108.7881,5.0,0.0,0.0,0.0,Asia
China/Guizhou,2020-01-23,China,26.8154,106.8748,3.0,0.0,0.0,0.0,Asia
