"Data Source","World Development Indicators",

"Last Updated Date","2020-05-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35177.1251587246","36524.8570692345","36625.6472170184","36988.0462595728","37833.012234632","37046.2728621425","36189.7888366787","37719.524394698","37666.0090496818","37392.0036116762","39421.4953902718","37408.1652525895","35385.9251400702","35331.8021414258","37462.9258628272","37427.3514592911","37519.3784565563","38048.4052279329","37962.8861452626","33936.8086807599","32617.4269919419","33616.7865873822","32990.1133041951","34175.5133783339","34261.1459131253","33921.4302817499","33678.3875980223","33966.4830001855","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1272.90091353162","1322.14132753971","1284.12733787726","1376.68637625196","1407.70804076546","1562.8765157744","1587.79206964143","1881.77762573479","2093.74356474335","2037.60860700679","2220.48152554463","2264.3175752325","2249.25373797742","2212.75089885175","2200.76448734821","2202.5708512665","2172.83221680084","",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5758.3197790164","5625.25308483065","5125.90121406239","3772.05995314771","3701.22759311748","4121.66784573387","4531.8899195083","4707.62983221603","4771.87597628444","4720.08778248885","4707.44056511065","4746.14107910474","5218.08614800923","5195.5518136246","5568.95796828233","6183.26057769046","6652.09573825373","7309.98877212578","7830.23140037649","7610.30882320107","7692.43691201474","7675.44843194292","8036.69028697051","8140.53120838518","8239.83207694371","8036.41409252965","7568.99722530409","7310.9017380354","6924.31736780124","",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4948.3874911369","3584.27437712799","3346.90397086199","3689.29055229629","4020.21112151088","4584.02546655443","5032.35140322579","4510.94419147827","4940.25763298739","5612.48621833755","6040.93591813289","6603.41494989419","6923.93956980982","7334.22662075312","7770.75104854141","8242.54372148213","8784.10617675358","9380.01349147852","10161.1843917979","10572.5995053731","11019.084281189","11329.9942164819","11509.5921735872","11646.2346812775","11877.4620630395","12176.4002297614","12600.1532047284","13093.6523134782","13670.1023036374","",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9630.92380676249","9590.12323062572","9876.65182538469","9871.4998589862","9903.00126512839","9856.89596295432","10078.8412068897","10251.053279717","10560.3379911244","10538.3571215417","10875.2157574459","10832.9738653132","10674.6596783273","10989.9790575279","11674.0622397618","12044.5040158586","12487.5234369347","12758.8726419277","13194.4295636351","12996.4394046275","13293.1564289447","13465.9494680889","13967.9983767617","14078.1845122238","14136.9656064348","14349.6686503504","14561.5793904562","14456.9992081713","14525.0228709929","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111214.952694866","105875.966552874","103248.715811096","98765.6836955589","99997.5462933919","101353.191858311","101991.883931812","104883.179309946","99885.4165227531","97488.5132775569","102274.715662197","98409.7833681149","95702.9091735322","97584.9338757625","97548.0357917005","90699.5941772817","86240.2189143473","76455.8311773887","68650.6272426234","58249.1952513472","54803.8658367353","56002.9310029322","57267.4358788205","59793.0208821494","62244.6659667187","65078.7000949835","66367.9998605897","65806.4434402125","65943.2789706915","",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14144.8862827775","15221.9264156786","16209.4650764483","17312.1821576621","18092.1777292028","17362.6729078357","18104.8574408859","19347.7114152798","19866.4146818584","18981.3346650058","18625.4512647604","17610.9058836486","15523.1722923224","16714.8156823728","18032.7684630281","19426.6068300837","20777.8336728194","22424.3186931208","23103.6583401892","21520.0810753219","23521.4762303945","24647.8451965879","24119.0788063702","24424.3504112585","23550.3053677879","23934.0962820711","23189.7305942385","23562.9188342608","22745.9037844103","",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5184.80937891199","4621.17414104396","2738.30203420057","2556.52072495027","2759.76209762629","3010.99763701666","3237.03228237103","3382.03971285858","3657.41430854511","3802.16077230784","4051.97656998475","4466.71761401635","5083.55570241403","5828.15106791176","6475.16212887311","7421.09376611053","8465.73382012811","9714.05846392361","10473.6140275437","9052.38981798647","9286.18118987644","9725.27146757016","10397.6907066856","10691.3099549619","11019.838784895","11321.3557592309","11303.071699445","12115.0570089389","12714.9581875167","",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15459.5414666939","15586.930844281","15497.4764026974","15991.8055144048","16697.2117779723","15628.3776268762","16303.7584974753","16828.6005058726","17258.9545908508","17551.3423590772","18395.2437845233","17213.1067366841","17148.8510869382","17957.2127858456","18742.4637405091","19667.9040474994","21839.1828643766","23485.948423444","23101.9314868622","19989.0929126679","18205.9853689337","17604.4171016288","17965.5023271233","17641.5425333279","18104.2414700004","18595.0849042657","19417.9648194984","19840.0761229321","21115.7982687308","",
"Australia","AUS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31309.3099479992","30789.9855544694","30544.1259468377","31465.52406925","32374.1961859753","33212.4434403894","34050.3161177449","35007.088627114","36229.6825959012","37635.3746355018","38652.0149904623","38870.6746015073","39935.6103540542","40623.6635181384","41783.9353399501","42557.3690467716","43106.0440441998","44484.4194851763","45196.7316956469","45132.3077113629","45354.4042289747","45830.119227372","46801.5722464225","47192.0573890772","47671.1110390381","48020.2541377547","48585.890201519","48905.4171954152","49575.981131221","",
